(Wrapper)>[PointerTensor | me:34463463869 -> data_owner:60989900466]
         69710803 function calls (65801520 primitive calls) in 609.483 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000  609.483  609.483 {built-in method builtins.exec}
        1    0.000    0.000  609.483  609.483 <string>:1(<module>)
     76/1    0.003    0.000  609.483  609.483 module.py:522(__call__)
        1    0.000    0.000  609.482  609.482 resnet.py:215(forward)
        1    0.000    0.000  609.482  609.482 resnet.py:197(_forward_impl)
 78718/61    0.129    0.000  609.436    9.991 hook.py:315(overloaded_func)
 75517/61    0.271    0.000  609.436    9.991 native.py:305(handle_func_command)
    62/61    0.002    0.000  609.428    9.991 precision.py:863(handle_func_command)
    38/21    0.001    0.000  517.258   24.631 __init__.py:33(method)
       21    0.000    0.000  514.445   24.497 additive_shared.py:930(__ge__)
       21    0.000    0.000  514.445   24.497 fss.py:272(le)
    42/21    0.023    0.001  514.444   24.497 fss.py:97(fss_op)
      420    0.002    0.000  408.050    0.972 threading.py:534(wait)
      420    0.003    0.000  408.047    0.972 threading.py:264(wait)
     1743  408.041    0.234  408.041    0.234 {method 'acquire' of '_thread.lock' objects}
      105    0.001    0.000  408.003    3.886 pool.py:270(starmap)
      105    0.001    0.000  407.996    3.886 pool.py:650(get)
      105    0.000    0.000  407.995    3.886 pool.py:647(wait)
    89656    0.163    0.000  342.783    0.004 base.py:290(send_msg)
     4843    0.886    0.000  336.346    0.069 primitives.py:161(provide_primitives)
      7/4    0.000    0.000  321.027   80.257 container.py:98(forward)
        8    0.001    0.000  321.025   40.128 resnet.py:57(forward)
    89656    0.039    0.000  279.348    0.003 virtual.py:9(_send_msg)
    89656    0.388    0.000  279.309    0.003 virtual.py:14(_recv_msg)
    89656    0.248    0.000  278.895    0.003 base.py:323(recv_msg)
       18    0.000    0.000  267.515   14.862 additive_shared.py:1087(handle_func_command)
       17    0.000    0.000  267.515   15.736 activation.py:93(forward)
       17    0.000    0.000  267.509   15.736 additive_shared.py:878(relu)
       17    0.001    0.000  267.503   15.735 additive_shared.py:902(relu)
    43919    0.206    0.000  267.033    0.006 base.py:493(send_command)
    24303    0.128    0.000  262.135    0.011 utils.py:43(remote_exec)
       21    0.189    0.009  255.846   12.183 primitives.py:244(build_separate_fss_keys)
       21    0.024    0.001  253.254   12.060 fss.py:47(keygen)
        2    0.000    0.000  252.562  126.281 functional.py:460(_pool2d)
        1    0.000    0.000  252.529  252.529 pooling.py:138(forward)
        1    0.000    0.000  252.529  252.529 functional.py:420(max_pool2d)
    89656    0.066    0.000  246.633    0.003 message_handler.py:19(handle)
    43919    0.050    0.000  240.545    0.005 message_handler.py:53(execute_tensor_command)
    43919    0.358    0.000  240.491    0.005 message_handler.py:59(execute_computation_action)
        3    0.000    0.000  223.319   74.440 functional.py:489(max_half_split)
       42    0.006    0.000  196.344    4.675 fss.py:201(evaluate)
     4822    0.015    0.000   80.157    0.017 additive_shared.py:523(_private_mul)
9644/4822    0.334    0.000   80.139    0.017 spdz.py:125(spdz_mul)
      105    0.002    0.000   66.917    0.637 context.py:114(Pool)
      105    0.010    0.000   66.895    0.637 pool.py:155(__init__)
      105    0.045    0.000   66.700    0.635 pool.py:227(_repopulate_pool)
      840    0.028    0.000   66.578    0.079 process.py:101(start)
      840    0.032    0.000   66.462    0.079 context.py:274(_Popen)
      840    0.012    0.000   66.418    0.079 popen_fork.py:16(__init__)
      840    0.041    0.000   66.388    0.079 popen_fork.py:67(_launch)
      840   66.124    0.079   66.247    0.079 {built-in method posix.fork}
   174469    0.479    0.000   64.972    0.000 serde.py:15(serialize)
   174469    0.704    0.000   64.493    0.000 serde.py:311(serialize)
       20    0.001    0.000   45.353    2.268 batchnorm.py:84(forward)
       20    0.001    0.000   45.339    2.267 functional.py:44(batch_norm)
       20    0.000    0.000   42.619    2.131 conv.py:344(forward)
       20    0.001    0.000   42.618    2.131 conv.py:334(conv2d_forward)
       20    0.002    0.000   42.579    2.129 functional.py:204(conv2d)
       20    0.024    0.001   42.399    2.120 precision.py:481(reciprocal)
     6401    0.008    0.000   42.159    0.007 additive_shared.py:575(mul)
     7980    0.057    0.000   41.312    0.005 precision.py:264(mul_and_div)
     6380    0.004    0.000   40.521    0.006 precision.py:368(mul)
       21    0.001    0.000   39.024    1.858 precision.py:419(matmul)
       21    0.000    0.000   38.915    1.853 additive_shared.py:627(matmul)
   174469    0.163    0.000   38.246    0.000 serde.py:289(_serialize_msgpack_binary)
     9644    0.111    0.000   33.941    0.004 spdz.py:63(spdz_compute)
   174469    0.146    0.000   30.230    0.000 serde.py:50(deserialize)
   174469    0.765    0.000   30.084    0.000 serde.py:377(deserialize)
   174469    1.327    0.000   26.689    0.000 __init__.py:29(packb)
   174469    0.101    0.000   25.542    0.000 serde.py:263(_serialize_msgpack_simple)
1753951/174469    2.206    0.000   25.441    0.000 serde.py:398(_simplify)
   174469   25.362    0.000   25.362    0.000 {method 'pack' of 'msgpack._cmsgpack.Packer' objects}
266453/156433    0.382    0.000   21.850    0.000 native_serde.py:22(_simplify_collection)
   174469    0.122    0.000   14.976    0.000 serde.py:346(_deserialize_msgpack_binary)
   174469    0.069    0.000   14.343    0.000 serde.py:363(_deserialize_msgpack_simple)
1657502/174469    1.227    0.000   14.273    0.000 serde.py:500(_detail)
     9686    0.018    0.000   12.613    0.001 message.py:939(simplify)
    63291    0.059    0.000   12.371    0.000 native_serde.py:156(_simplify_dictionary)
    80478    0.397    0.000   12.020    0.000 torch_serde.py:106(_simplify_torch_tensor)
   174469   11.298    0.000   11.394    0.000 compression.py:86(_compress)
155498/107168    0.252    0.000   11.270    0.000 native_serde.py:122(_detail_collection_tuple)
298809/298793    3.391    0.000    9.174    0.000 hook.py:141(overloaded_native_method)
    11876    0.027    0.000    9.156    0.001 <__array_function__ internals>:2(concatenate)
    80478    0.370    0.000    9.136    0.000 torch_serde.py:165(_detail_torch_tensor)
    11897    9.126    0.001    9.129    0.001 {built-in method numpy.core._multiarray_umath.implement_array_function}
   174469    8.597    0.000    8.597    0.000 compression.py:108(_decompress)
    80478    0.177    0.000    8.497    0.000 torch_serde.py:31(_serialize_tensor)
    43919    0.045    0.000    8.097    0.000 message.py:136(simplify)
    80478    0.097    0.000    7.917    0.000 torch_serde.py:55(_deserialize_tensor)
    43919    0.028    0.000    7.875    0.000 computation.py:35(simplify)
    43919    0.160    0.000    7.847    0.000 action.py:123(simplify)
    80478    0.122    0.000    7.820    0.000 serde.py:43(torch_tensor_deserializer)
    80478    0.431    0.000    7.698    0.000 serialization.py:448(load)
11374/9725    0.043    0.000    7.311    0.001 overload.py:20(_hook_method_args)
     8190    0.080    0.000    7.182    0.001 native_serde.py:316(_simplify_ndarray)
    80478    0.111    0.000    6.958    0.000 serde.py:36(torch_tensor_serializer)
     8190    6.900    0.001    6.900    0.001 {method 'tobytes' of 'numpy.ndarray' objects}
    80478    0.260    0.000    6.830    0.000 serialization.py:295(save)
    80478    0.645    0.000    6.305    0.000 serialization.py:331(_legacy_save)
   174469    6.256    0.000    6.256    0.000 {msgpack._cmsgpack.unpackb}
    80478    0.458    0.000    6.224    0.000 serialization.py:549(_legacy_load)
    43919    0.052    0.000    6.217    0.000 message.py:150(detail)
    43919    0.058    0.000    5.973    0.000 computation.py:49(detail)
     4822    0.038    0.000    5.921    0.001 primitives.py:260(build_separate_triples)
     4822    0.079    0.000    5.877    0.001 beaver.py:7(build_triple)
     9686    0.019    0.000    5.843    0.001 message_handler.py:335(execute_worker_command)
     9686    0.019    0.000    5.817    0.001 base.py:915(feed_crypto_primitive_store)
     9686    0.396    0.000    5.798    0.001 primitives.py:194(add_primitives)
    43919    0.114    0.000    5.637    0.000 action.py:145(detail)
     4116    0.008    0.000    5.265    0.001 fss.py:489(concat)
  6174413    3.713    0.000    5.133    0.000 serde.py:69(wrapper)
       21    0.000    0.000    5.126    0.244 additive_shared.py:589(__mul__)
    75456    0.113    0.000    5.035    0.000 native.py:406(_get_response)
       40    0.420    0.010    4.773    0.119 functional.py:78(_pre_conv)
     9686    0.023    0.000    4.534    0.000 message.py:956(detail)
    16414    0.049    0.000    4.435    0.000 pointers.py:68(overloaded_pointer_method)
    63291    0.026    0.000    4.212    0.000 native_serde.py:183(_detail_dictionary)
61825/52181    0.070    0.000    4.004    0.000 native_serde.py:57(_detail_collection_list)
     1600    0.007    0.000    3.824    0.002 precision.py:240(__rsub__)
    80499    1.232    0.000    3.691    0.000 {method 'dump' of '_pickle.Pickler' objects}
     4852    0.009    0.000    3.577    0.001 popen_fork.py:25(poll)
     4751    3.566    0.001    3.567    0.001 {built-in method posix.waitpid}
      228    0.001    0.000    3.533    0.015 util.py:182(__call__)
       21    0.002    0.000    3.531    0.168 pool.py:571(_terminate_pool)
    80478    0.964    0.000    3.516    0.000 {method 'load' of '_pickle.Unpickler' objects}
       38    0.000    0.000    3.506    0.092 process.py:133(join)
       38    0.000    0.000    3.505    0.092 popen_fork.py:41(wait)
     6401    0.008    0.000    3.444    0.001 additive_shared.py:664(div)
     4801    0.041    0.000    3.356    0.001 precision.py:146(truncate)
     6401    0.008    0.000    3.182    0.000 additive_shared.py:656(_public_div)
     6401    0.017    0.000    3.173    0.000 additive_shared.py:662(<dictcomp>)
     1641    0.006    0.000    2.724    0.002 additive_shared.py:502(sub)
     1620    0.005    0.000    2.647    0.002 precision.py:218(sub)
     1674    0.017    0.000    2.625    0.002 additive_shared.py:454(_basic_arithmetic_op)
    16066    0.091    0.000    2.447    0.000 additive_shared.py:334(generate_shares)
   241434    0.915    0.000    2.127    0.000 base.py:933(serializer)
   912560    0.618    0.000    2.115    0.000 serde.py:488(_detail_field)
    80478    0.118    0.000    2.101    0.000 _utils.py:134(_rebuild_tensor_v2)
    32808    0.051    0.000    2.081    0.000 object_pointer.py:329(__del__)
    32808    0.133    0.000    2.021    0.000 base.py:463(garbage)
    80478    0.215    0.000    1.983    0.000 _utils.py:128(_rebuild_tensor)
    38699    1.669    0.000    1.669    0.000 {function _TensorBase.__sub__ at 0x7fc2b5efe8c0}
    16066    1.666    0.000    1.666    0.000 {function _TensorBase.random_ at 0x7fc2b5ec2440}
  1590762    0.855    0.000    1.567    0.000 serialization.py:344(persistent_id)
