(Wrapper)>[PointerTensor | me:96827241968 -> data_owner:88528530760]
         68670440 function calls (64854235 primitive calls) in 165.687 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000  165.687  165.687 {built-in method builtins.exec}
        1    0.000    0.000  165.687  165.687 <string>:1(<module>)
     76/1    0.001    0.000  165.687  165.687 module.py:522(__call__)
        1    0.000    0.000  165.687  165.687 resnet.py:215(forward)
        1    0.000    0.000  165.687  165.687 resnet.py:197(_forward_impl)
 78676/61    0.123    0.000  165.657    2.716 hook.py:315(overloaded_func)
 75475/61    0.258    0.000  165.657    2.716 native.py:305(handle_func_command)
    62/61    0.002    0.000  165.652    2.716 precision.py:863(handle_func_command)
    89656    0.156    0.000  124.515    0.001 base.py:290(send_msg)
    38/21    0.000    0.000  104.860    4.993 __init__.py:33(method)
      7/4    0.000    0.000  104.655   26.164 container.py:98(forward)
        8    0.001    0.000  104.653   13.082 resnet.py:57(forward)
       21    0.000    0.000  103.973    4.951 additive_shared.py:930(__ge__)
       21    0.000    0.000  103.973    4.951 fss.py:318(le)
    42/21    0.614    0.015  103.973    4.951 fss.py:114(fss_op)
     4843    0.497    0.000   83.589    0.017 primitives.py:173(provide_primitives)
    89656    0.038    0.000   81.965    0.001 virtual.py:9(_send_msg)
    89656    0.231    0.000   81.927    0.001 virtual.py:14(_recv_msg)
    89656    0.240    0.000   81.668    0.001 base.py:323(recv_msg)
    43919    0.194    0.000   75.927    0.002 base.py:493(send_command)
    24303    0.122    0.000   71.408    0.003 utils.py:43(remote_exec)
       17    0.000    0.000   55.755    3.280 activation.py:93(forward)
       18    0.000    0.000   55.753    3.097 additive_shared.py:1087(handle_func_command)
       17    0.000    0.000   55.752    3.280 additive_shared.py:878(relu)
       17    0.000    0.000   55.749    3.279 additive_shared.py:902(relu)
    89656    0.062    0.000   54.294    0.001 message_handler.py:19(handle)
    43919    0.049    0.000   52.508    0.001 message_handler.py:53(execute_tensor_command)
    43919    0.295    0.000   52.454    0.001 message_handler.py:59(execute_computation_action)
        2    0.000    0.000   50.175   25.088 functional.py:460(_pool2d)
        1    0.000    0.000   50.171   50.171 pooling.py:138(forward)
        1    0.000    0.000   50.171   50.171 functional.py:420(max_pool2d)
     4822    0.015    0.000   49.086    0.010 additive_shared.py:523(_private_mul)
