0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174
2280,2226,6198,184,1242,688,566,568,2190,88,2516,128,3492,278,400,812,496,1660,510,3192,670,428,3804,290,5708,298,2546,192,62,814,874,1964,4674,122,396,436,484,2764,2074,1470,278,4916,1100,568,1472,1102,1010,4788,1370,590,1402,288,2488,506,76,1102,1406,2208,658,742,416,894,2224,1292,314,56,344,1176,2118,324,1960,6922,666,546,900,6382,1940,666,3226,1344,720,406,5350,136,246,380,1026,1020,648,1042,3802,2786,230,1582,1162,3046,1104,568,2408,138,1204,1114,606,1206,1812,704,54,1068,3464,956,6642,262,18,2942,118,2090,552,2494,1450,5080,616,1026,330,824,838,496,1978,1492,406,9028,16,1022,1988,2386,3868,1818,134,5134,934,562,3966,436,330,2086,652,144,3970,1472,3954,232,892,340,3092,2116,1200,1000,6342,562,138,3302,332,220,1614,1590,128,1030,414,1444,802,468,1042,568,930,1044,2352
1140,1113,3099,92,621,344,283,284,1095,44,1258,64,1746,139,200,406,248,830,255,1596,335,214,1902,145,2854,149,1273,96,31,407,437,982,2337,61,198,218,242,1382,1037,735,139,2458,550,284,736,551,505,2394,685,295,701,144,1244,253,38,551,703,1104,329,371,208,447,1112,646,157,28,172,588,1059,162,980,3461,333,273,450,3191,970,333,1613,672,360,203,2675,68,123,190,513,510,324,521,1901,1393,115,791,581,1523,552,284,1204,69,602,557,303,603,906,352,27,534,1732,478,3321,131,9,1471,59,1045,276,1247,725,2540,308,513,165,412,419,248,989,746,203,4514,8,511,994,1193,1934,909,67,2567,467,281,1983,218,165,1043,326,72,1985,736,1977,116,446,170,1546,1058,600,500,3171,281,69,1651,166,110,807,795,64,515,207,722,401,234,521,284,465,522,1176
1211,1378,2821,113,575,319,267,295,1167,52,1314,64,1807,134,193,304,260,926,264,1632,346,214,2086,154,2544,144,1261,86,26,437,430,942,2691,69,201,176,202,1194,985,851,126,2560,626,292,817,602,566,1929,677,262,735,132,1269,324,41,576,708,1196,353,438,181,440,1209,654,165,29,176,561,881,158,902,3768,320,291,464,3662,1011,254,1270,680,456,177,2338,61,115,190,407,506,313,677,2218,1414,112,775,591,1285,503,295,1266,65,574,550,320,611,865,353,26,649,1055,495,3164,146,9,1174,75,954,239,1252,712,2516,284,477,182,171,412,286,1199,863,258,5296,8,479,990,1313,2126,1209,58,2556,434,273,1835,194,161,878,314,65,2022,702,2115,118,486,180,1467,1077,523,565,2989,245,67,1643,167,102,884,850,68,577,231,655,449,224,600,224,577,492,1258
1238,1587,2356,107,520,265,296,316,1186,42,1387,70,1629,142,184,338,301,1035,256,1900,316,257,2314,171,2397,174,1207,78,26,404,548,934,2481,69,174,212,180,1186,1021,1064,109,2673,591,318,871,694,558,1146,819,277,861,142,1315,401,44,781,769,1329,394,500,184,362,1125,634,165,31,180,660,769,145,993,3912,319,285,512,4673,1008,245,1331,672,418,218,1678,75,104,198,418,577,321,678,2270,1747,120,799,633,1155,572,326,1255,91,623,537,305,597,869,373,22,696,1207,514,3094,178,9,1177,77,1014,231,1259,763,2390,261,556,213,91,377,245,1157,619,282,4537,7,482,923,1016,1992,903,20,2388,442,311,2013,191,158,1069,309,59,1812,685,2199,104,490,184,1072,1117,528,531,3545,292,67,1784,122,123,948,948,52,473,209,620,473,231,607,275,407,421,1109
1093,2075,2964,117,578,371,359,349,1151,48,1418,70,1783,149,176,305,314,1285,259,2629,321,238,1905,222,2279,166,1230,86,26,376,566,1020,2472,71,204,203,232,1420,1235,1202,110,2586,579,381,762,792,533,1284,891,297,704,144,1288,222,51,894,729,1311,228,523,187,370,1326,659,172,28,179,853,775,124,1189,3978,381,260,384,4959,1105,240,1162,585,471,209,1499,85,102,207,432,700,307,863,2659,1668,124,960,748,924,545,364,978,119,728,549,308,680,1137,380,20,655,1226,799,2536,190,10,1244,103,977,236,1231,814,2472,216,521,229,105,249,238,1117,614,290,5689,6,636,941,1318,2143,643,22,2986,466,348,2412,221,176,1164,299,42,1530,762,2671,93,467,188,1324,1032,439,509,3084,307,58,1794,142,114,916,1029,42,550,227,648,447,232,563,188,338,432,1148
966,2269,3390,135,614,432,341,428,1107,49,1091,76,1802,132,169,371,324,1134,258,2805,319,197,1492,220,2377,151,1364,101,25,357,468,1163,2741,74,200,234,238,1399,1402,1147,52,2640,481,424,815,809,533,1468,649,248,650,126,1323,217,47,993,735,1565,197,585,212,424,1651,576,185,31,156,871,844,91,992,4503,365,283,384,6470,1361,245,1140,598,527,217,1516,82,113,199,472,706,285,944,3382,1932,185,847,792,813,455,385,963,121,669,589,284,723,1140,355,25,609,1176,828,1986,150,11,1379,115,1143,191,1167,894,3183,194,482,248,94,258,228,1060,623,275,5616,5,582,1044,1384,2032,818,18,1884,590,347,2523,203,198,1046,289,44,1418,600,2834,88,409,196,1279,1096,469,480,3107,260,69,2138,160,117,1270,1006,46,285,189,640,398,250,535,183,382,459,1181
758,2430,3575,178,802,511,330,552,1046,43,1198,70,1942,151,161,375,314,1166,296,2232,326,224,1535,200,2236,152,1489,109,27,341,443,1305,2597,79,203,265,264,1724,1509,1530,27,1610,443,405,878,815,565,1176,535,254,638,123,1356,299,50,971,708,1351,215,622,206,485,1719,585,140,32,161,1025,655,110,982,4257,363,303,402,5355,936,227,1152,553,570,232,1277,91,124,199,417,735,332,934,3707,1571,182,846,804,640,466,310,957,114,741,533,303,840,1253,383,24,614,1245,888,2014,160,11,1389,84,1311,214,1220,928,3268,188,493,296,99,261,227,978,523,267,6538,5,594,1179,1506,1672,827,19,1946,618,344,2546,248,195,1104,279,48,1348,619,3107,109,435,215,1258,1160,489,468,3019,301,73,1945,136,125,1188,1027,50,248,167,608,471,266,570,130,360,495,1173
858,2709,4260,180,696,455,347,488,1014,42,1221,82,2039,151,176,427,308,1160,298,2183,304,250,924,215,2266,136,1502,125,34,376,445,1341,2420,88,205,279,270,2330,1639,1551,23,1662,485,353,912,669,483,1056,276,285,649,120,1435,234,50,1405,695,1091,205,573,200,504,1894,526,145,32,150,965,604,107,943,4228,232,275,375,5306,1250,227,1127,432,760,255,1072,92,172,199,408,1001,336,1017,4223,1991,180,814,959,738,448,353,1143,125,580,579,305,723,1351,359,21,598,1247,775,1536,169,10,1803,88,1530,227,1113,979,2938,207,490,293,97,237,237,1094,484,278,6386,5,552,1092,1377,1609,866,22,1984,584,409,3427,247,216,1075,221,53,1215,599,4139,116,445,195,1180,1217,374,441,3667,278,77,1486,144,147,1108,940,47,260,194,529,464,258,458,100,288,424,1197
877,2556,4860,178,747,309,458,457,1000,46,1197,84,2086,161,158,592,329,1117,294,2429,295,239,917,190,2556,129,1732,139,35,469,490,1448,2268,94,201,278,276,2202,1704,1290,15,1953,564,352,981,752,372,631,291,285,706,129,1577,239,60,1495,738,991,219,541,205,460,1930,496,134,33,161,1044,812,107,1071,4343,190,313,357,5525,1030,230,1132,484,727,312,1056,114,166,210,370,1074,354,1182,4359,2211,239,1018,993,603,423,432,1181,136,511,663,305,721,1299,247,21,723,1247,911,1408,193,11,2220,83,1390,219,1214,1013,2965,193,525,303,115,160,241,1244,473,224,6257,5,520,1196,1328,1276,860,20,1732,587,430,3816,272,224,1052,243,45,1376,641,4932,120,462,197,1242,1070,251,507,3416,264,82,1886,165,144,1195,948,48,247,190,412,436,250,411,107,450,440,1193
925,2765,4145,251,770,283,462,495,1131,46,1474,88,2133,164,146,690,375,1077,288,2241,304,236,796,201,2779,127,1684,115,31,500,491,1355,2059,99,182,386,213,2521,1593,1204,12,2003,494,332,1097,678,352,575,285,159,696,88,1643,331,55,1353,845,1003,205,542,212,520,1836,455,139,35,183,950,728,132,879,4259,177,349,366,5708,1132,213,1694,530,589,297,700,120,218,215,280,1309,383,1313,5330,2824,258,1326,914,668,395,437,1125,137,462,568,324,604,1232,251,20,732,1058,986,1558,223,10,2974,84,1458,215,1328,1173,2815,179,584,296,143,244,315,1302,549,209,7084,4,489,1274,1163,1316,665,21,1683,553,416,5113,283,225,1140,313,53,1636,674,4751,133,274,210,1402,1007,264,533,3210,291,81,1793,175,130,1179,984,47,349,177,371,434,205,419,114,509,458,1224
629,3071,5022,259,775,287,507,438,1207,62,1348,81,2451,252,123,819,374,1057,292,2484,283,207,745,191,2719,129,2048,112,36,583,506,1378,2313,101,174,317,200,2707,1861,1241,11,2278,465,281,1125,677,309,646,231,84,674,82,1984,338,62,1642,725,1008,196,505,211,597,2187,409,138,37,150,968,671,149,803,4192,126,354,424,5480,1067,235,1473,533,631,335,562,117,203,209,335,1346,388,1377,5153,3033,223,1848,977,468,368,455,1131,153,399,584,384,590,1315,237,14,725,1032,1047,2073,266,10,3084,79,1388,242,1303,1123,2681,163,569,320,225,242,315,1455,691,221,7904,5,481,1677,1468,901,744,17,1789,574,357,5423,296,246,1436,322,55,1737,627,6654,114,327,209,1488,1152,241,524,3192,330,84,1848,161,140,1130,942,49,228,197,418,512,206,348,75,490,486,1337
806,3147,5101,295,845,266,585,433,1259,60,1361,84,2416,270,140,789,396,1113,320,2130,319,209,838,195,3222,140,1522,92,35,573,535,1214,2235,67,224,348,181,2358,1939,1579,13,2414,464,288,930,614,293,651,304,79,748,83,1750,289,64,1694,748,1161,163,484,208,541,2218,452,149,36,171,1123,780,120,860,4018,130,357,465,5112,925,239,1536,545,694,290,543,115,245,197,368,1438,398,1437,4709,2863,236,2137,1020,605,394,468,902,208,336,566,473,575,1173,246,14,834,956,1120,2266,256,11,3110,76,1434,223,1229,1129,2416,161,530,350,186,269,316,1414,727,220,7855,5,532,2113,1461,911,825,18,1964,694,371,4982,253,247,1239,285,64,1804,595,5988,129,261,201,1650,1072,184,524,3307,297,87,2095,171,158,1014,840,55,378,221,436,499,213,337,24,566,448,1057
895,3740,5833,294,843,308,606,451,1567,64,1475,90,2993,284,129,805,474,1137,322,1626,375,233,1070,216,3298,165,1986,81,41,622,641,1222,2342,65,209,298,173,2568,1964,1488,13,2070,477,296,928,499,289,610,308,100,797,77,1710,299,66,1621,761,1116,146,512,208,576,2295,427,128,40,164,1335,551,124,664,4073,128,377,474,4125,913,252,1501,603,715,306,396,109,286,193,337,1445,354,1377,4564,3642,245,2271,989,660,403,464,1164,202,350,606,667,612,1250,295,14,771,625,1110,3377,278,10,3963,90,1318,251,1159,1014,2323,137,527,366,221,264,291,1413,696,215,8409,5,579,2392,1539,1098,760,16,542,991,401,4285,241,299,1217,256,63,1778,458,7427,132,253,177,2024,1241,205,511,3226,341,92,1941,149,162,1090,909,45,397,211,428,506,211,321,18,609,336,1173
818,3559,7090,342,680,278,662,468,1612,63,1676,79,3562,307,138,718,434,1127,335,1583,441,220,797,214,3350,166,2113,97,42,540,591,1232,2199,59,238,278,197,2837,1668,1501,13,2409,438,348,755,526,276,578,272,87,840,80,1519,258,66,1451,652,1109,152,588,234,544,2723,509,132,47,162,1356,543,121,663,4565,129,344,503,3944,944,254,1302,617,619,326,379,101,298,175,351,1374,323,1331,4689,3290,223,2041,938,331,395,518,1125,202,342,532,618,614,1201,355,14,889,605,1267,3661,250,10,3866,82,1480,245,1155,891,2248,136,545,339,198,182,301,1309,621,189,9696,4,637,2622,1696,1278,698,17,688,1092,376,4279,270,256,1212,271,62,1619,493,7076,126,247,184,2398,1173,189,582,4879,371,78,2121,137,154,1183,1022,48,406,217,459,553,196,349,20,690,360,956
735,4470,6549,337,622,370,702,583,1702,70,1649,66,5667,269,144,617,427,915,357,1170,480,240,808,234,2231,182,2010,96,52,539,621,1445,2141,66,256,256,186,2576,1650,1817,12,1922,457,335,740,376,316,196,272,92,850,79,1726,260,75,1405,596,632,148,607,232,595,2729,652,124,52,147,1307,516,137,655,4150,115,345,487,3297,918,307,1152,673,620,340,376,97,289,166,302,1516,292,1397,4370,3060,218,2142,910,369,351,472,1120,205,355,619,700,653,1250,349,14,976,501,1443,3340,433,9,4384,94,1363,264,1222,920,2546,148,640,447,206,168,377,1630,870,187,9430,4,886,2367,1606,1537,812,16,576,1072,387,5022,261,242,1178,282,68,1878,504,6490,139,101,223,2572,1190,186,714,4932,341,70,1728,121,240,1200,1027,48,294,220,400,544,214,340,21,792,354,703
661,3814,5180,361,707,364,775,720,1620,71,1925,68,6850,245,163,618,421,744,358,1457,543,251,971,254,3192,169,1728,97,54,509,716,1412,2054,70,268,329,183,3128,1636,2238,15,1936,435,345,724,417,326,179,293,81,934,77,1597,194,77,1370,567,609,167,590,282,904,3040,662,140,49,150,1252,477,151,628,4994,109,271,503,3633,715,326,1416,653,571,317,368,96,344,169,366,1336,310,1310,4295,3320,221,2371,861,372,345,499,1082,199,380,519,800,699,1147,320,13,979,467,1404,3580,366,9,4321,67,1098,266,1182,854,3254,96,826,425,206,155,415,1483,1223,201,11116,4,898,2770,1758,1916,605,16,508,1025,373,4590,265,239,1140,274,56,1866,575,5814,152,101,235,2238,1168,164,649,4620,333,77,1574,124,240,1495,1065,49,265,158,402,503,160,380,14,603,364,965
629,3665,4548,324,790,425,694,725,1403,56,2156,65,7154,259,160,642,398,345,352,1611,490,266,737,207,2565,142,1713,82,52,609,772,1424,2041,67,279,441,175,3017,1850,2042,15,1692,434,322,578,385,336,190,220,75,872,95,1516,203,65,1294,505,646,196,623,282,650,3162,579,167,60,151,1394,433,163,613,5231,114,295,500,3149,730,310,1618,739,554,360,438,129,363,167,291,1372,312,1586,6249,3713,211,2417,838,418,354,598,1131,197,390,507,777,849,1048,339,17,977,388,1456,3887,198,9,3720,56,1321,325,1211,849,3357,51,870,458,124,180,412,1640,1530,188,10382,4,881,2689,1887,1505,726,16,455,1132,366,4737,224,250,883,295,57,1780,552,5405,170,108,245,2365,1069,173,661,4998,383,94,1294,98,243,1428,904,51,332,136,330,730,198,383,14,634,361,1264
