Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
HS,2022,202203,Mar-22,0,0,1,Imports,31,Azerbaijan,,76,Brazil,,TOTAL,All Commodities,,,,0.0,10219315,0
HS,2022,202203,Mar-22,0,0,2,Exports,31,Azerbaijan,,76,Brazil,,TOTAL,All Commodities,,,,0.0,15667155,0
HS,2022,202203,Mar-22,0,0,1,Imports,32,Argentina,,76,Brazil,,TOTAL,All Commodities,,,,0.0,1378527055,0
HS,2022,202203,Mar-22,0,0,2,Exports,32,Argentina,,76,Brazil,,TOTAL,All Commodities,,,,0.0,986129605,0
HS,2022,202203,Mar-22,0,0,1,Imports,36,Australia,,76,Brazil,,TOTAL,All Commodities,,,,0.0,77936714,0
HS,2022,202203,Mar-22,0,0,2,Exports,36,Australia,,76,Brazil,,TOTAL,All Commodities,,,,0.0,112331217,0
HS,2022,202203,Mar-22,0,0,1,Imports,51,Armenia,,76,Brazil,,TOTAL,All Commodities,,,,0.0,4243701,0
HS,2022,202203,Mar-22,0,0,1,Imports,52,Barbados,,76,Brazil,,TOTAL,All Commodities,,,,0.0,758450,0
HS,2022,202203,Mar-22,0,0,2,Exports,52,Barbados,,76,Brazil,,TOTAL,All Commodities,,,,0.0,5000,0
HS,2022,202203,Mar-22,0,0,1,Imports,56,Belgium,,76,Brazil,,TOTAL,All Commodities,,,,0.0,280046889,0
HS,2022,202203,Mar-22,0,0,2,Exports,56,Belgium,,76,Brazil,,TOTAL,All Commodities,,,,0.0,253506334,0
HS,2022,202203,Mar-22,0,0,1,Imports,68,Bolivia,,76,Brazil,,TOTAL,All Commodities,,,,0.0,169665750,0
HS,2022,202203,Mar-22,0,0,2,Exports,68,Bolivia,,76,Brazil,,TOTAL,All Commodities,,,,0.0,191053430,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,68,Bolivia,,76,Brazil,,TOTAL,All Commodities,,,,0.0,177514,0
HS,2022,202203,Mar-22,0,0,1,Imports,70,Bosnia Herzegovina,,76,Brazil,,TOTAL,All Commodities,,,,0.0,14558769,0
HS,2022,202203,Mar-22,0,0,2,Exports,70,Bosnia Herzegovina,,76,Brazil,,TOTAL,All Commodities,,,,0.0,33360,0
HS,2022,202203,Mar-22,0,0,1,Imports,72,Botswana,,76,Brazil,,TOTAL,All Commodities,,,,0.0,2014853,0
HS,2022,202203,Mar-22,0,0,1,Imports,76,Brazil,,76,Brazil,,TOTAL,All Commodities,,,,0.0,25243547,0
HS,2022,202203,Mar-22,0,0,4,Re-imports,76,Brazil,,76,Brazil,,TOTAL,All Commodities,,,,0.0,25243547,0
HS,2022,202203,Mar-22,0,0,1,Imports,84,Belize,,76,Brazil,,TOTAL,All Commodities,,,,0.0,730223,0
HS,2022,202203,Mar-22,0,0,1,Imports,97,EU,,76,Brazil,,TOTAL,All Commodities,,,,0.0,4349956560,0
HS,2022,202203,Mar-22,0,0,2,Exports,97,EU,,76,Brazil,,TOTAL,All Commodities,,,,0.0,3536918207,0
HS,2022,202203,Mar-22,0,0,1,Imports,112,Belarus,,76,Brazil,,TOTAL,All Commodities,,,,0.0,3666200,0
HS,2022,202203,Mar-22,0,0,2,Exports,112,Belarus,,76,Brazil,,TOTAL,All Commodities,,,,0.0,311100,0
HS,2022,202203,Mar-22,0,0,1,Imports,124,Canada,,76,Brazil,,TOTAL,All Commodities,,,,,577701902,0
HS,2022,202203,Mar-22,0,0,2,Exports,124,Canada,,76,Brazil,,TOTAL,All Commodities,,,,0.0,335345075,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,124,Canada,,76,Brazil,,TOTAL,All Commodities,,,,0.0,13231370,0
HS,2022,202203,Mar-22,0,0,1,Imports,152,Chile,,76,Brazil,,TOTAL,All Commodities,,,,0.0,783019489,0
HS,2022,202203,Mar-22,0,0,2,Exports,152,Chile,,76,Brazil,,TOTAL,All Commodities,,,,0.0,399650090,0
HS,2022,202203,Mar-22,0,0,1,Imports,156,China,,76,Brazil,,TOTAL,All Commodities,,,,0.0,7075538719,0
HS,2022,202203,Mar-22,0,0,2,Exports,156,China,,76,Brazil,,TOTAL,All Commodities,,,,0.0,4283048863,0
HS,2022,202203,Mar-22,0,0,1,Imports,191,Croatia,,76,Brazil,,TOTAL,All Commodities,,,,0.0,2364013,0
HS,2022,202203,Mar-22,0,0,2,Exports,191,Croatia,,76,Brazil,,TOTAL,All Commodities,,,,0.0,2529024,0
HS,2022,202203,Mar-22,0,0,1,Imports,203,Czech Rep.,,76,Brazil,,TOTAL,All Commodities,,,,0.0,20584394,0
HS,2022,202203,Mar-22,0,0,2,Exports,203,Czech Rep.,,76,Brazil,,TOTAL,All Commodities,,,,0.0,35360198,0
HS,2022,202203,Mar-22,0,0,1,Imports,208,Denmark,,76,Brazil,,TOTAL,All Commodities,,,,0.0,38278111,0
HS,2022,202203,Mar-22,0,0,2,Exports,208,Denmark,,76,Brazil,,TOTAL,All Commodities,,,,0.0,42192037,0
