Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
HS,2022,202203,Mar-22,0,0,1,Imports,31,Azerbaijan,,124,Canada,,TOTAL,All Commodities,,,,0.0,769998,0
HS,2022,202203,Mar-22,0,0,2,Exports,31,Azerbaijan,,124,Canada,,TOTAL,All Commodities,,,,0.0,43645,0
HS,2022,202203,Mar-22,0,0,1,Imports,32,Argentina,,124,Canada,,TOTAL,All Commodities,,,,0.0,71433874,0
HS,2022,202203,Mar-22,0,0,2,Exports,32,Argentina,,124,Canada,,TOTAL,All Commodities,,,,0.0,71279212,0
HS,2022,202203,Mar-22,0,0,1,Imports,36,Australia,,124,Canada,,TOTAL,All Commodities,,,,0.0,180649635,0
HS,2022,202203,Mar-22,0,0,2,Exports,36,Australia,,124,Canada,,TOTAL,All Commodities,,,,0.0,122567261,0
HS,2022,202203,Mar-22,0,0,1,Imports,51,Armenia,,124,Canada,,TOTAL,All Commodities,,,,0.0,2698527,0
HS,2022,202203,Mar-22,0,0,2,Exports,51,Armenia,,124,Canada,,TOTAL,All Commodities,,,,0.0,82312,0
HS,2022,202203,Mar-22,0,0,1,Imports,52,Barbados,,124,Canada,,TOTAL,All Commodities,,,,0.0,3841932,0
HS,2022,202203,Mar-22,0,0,2,Exports,52,Barbados,,124,Canada,,TOTAL,All Commodities,,,,0.0,1796109,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,52,Barbados,,124,Canada,,TOTAL,All Commodities,,,,0.0,4886,0
HS,2022,202203,Mar-22,0,0,1,Imports,56,Belgium,,124,Canada,,TOTAL,All Commodities,,,,0.0,342217319,0
HS,2022,202203,Mar-22,0,0,2,Exports,56,Belgium,,124,Canada,,TOTAL,All Commodities,,,,0.0,200061901,0
HS,2022,202203,Mar-22,0,0,1,Imports,68,Bolivia,,124,Canada,,TOTAL,All Commodities,,,,0.0,2459585,0
HS,2022,202203,Mar-22,0,0,2,Exports,68,Bolivia,,124,Canada,,TOTAL,All Commodities,,,,0.0,16169403,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,68,Bolivia,,124,Canada,,TOTAL,All Commodities,,,,0.0,3650,0
HS,2022,202203,Mar-22,0,0,1,Imports,70,Bosnia Herzegovina,,124,Canada,,TOTAL,All Commodities,,,,0.0,743823,0
HS,2022,202203,Mar-22,0,0,2,Exports,70,Bosnia Herzegovina,,124,Canada,,TOTAL,All Commodities,,,,0.0,539666,0
HS,2022,202203,Mar-22,0,0,1,Imports,72,Botswana,,124,Canada,,TOTAL,All Commodities,,,,0.0,48144895,0
HS,2022,202203,Mar-22,0,0,2,Exports,72,Botswana,,124,Canada,,TOTAL,All Commodities,,,,0.0,624598,0
HS,2022,202203,Mar-22,0,0,1,Imports,76,Brazil,,124,Canada,,TOTAL,All Commodities,,,,0.0,277575710,0
HS,2022,202203,Mar-22,0,0,2,Exports,76,Brazil,,124,Canada,,TOTAL,All Commodities,,,,0.0,418906617,0
HS,2022,202203,Mar-22,0,0,1,Imports,84,Belize,,124,Canada,,TOTAL,All Commodities,,,,0.0,3189599,0
HS,2022,202203,Mar-22,0,0,2,Exports,84,Belize,,124,Canada,,TOTAL,All Commodities,,,,0.0,77289,0
HS,2022,202203,Mar-22,0,0,1,Imports,97,EU,,124,Canada,,TOTAL,All Commodities,,,,0.0,2149826834,0
HS,2022,202203,Mar-22,0,0,2,Exports,97,EU,,124,Canada,,TOTAL,All Commodities,,,,0.0,4603807209,0
HS,2022,202203,Mar-22,0,0,1,Imports,112,Belarus,,124,Canada,,TOTAL,All Commodities,,,,0.0,2411400,0
HS,2022,202203,Mar-22,0,0,2,Exports,112,Belarus,,124,Canada,,TOTAL,All Commodities,,,,0.0,667200,0
HS,2022,202203,Mar-22,0,0,1,Imports,124,Canada,,124,Canada,,TOTAL,All Commodities,,,,,361902605,0
HS,2022,202203,Mar-22,0,0,4,Re-imports,124,Canada,,124,Canada,,TOTAL,All Commodities,,,,,361902605,0
HS,2022,202203,Mar-22,0,0,1,Imports,152,Chile,,124,Canada,,TOTAL,All Commodities,,,,0.0,57338883,0
HS,2022,202203,Mar-22,0,0,2,Exports,152,Chile,,124,Canada,,TOTAL,All Commodities,,,,0.0,163356040,0
HS,2022,202203,Mar-22,0,0,1,Imports,156,China,,124,Canada,,TOTAL,All Commodities,,,,0.0,2119713834,0
HS,2022,202203,Mar-22,0,0,2,Exports,156,China,,124,Canada,,TOTAL,All Commodities,,,,0.0,4458309059,0
HS,2022,202203,Mar-22,0,0,1,Imports,191,Croatia,,124,Canada,,TOTAL,All Commodities,,,,0.0,2337508,0
HS,2022,202203,Mar-22,0,0,2,Exports,191,Croatia,,124,Canada,,TOTAL,All Commodities,,,,0.0,4028142,0
HS,2022,202203,Mar-22,0,0,1,Imports,203,Czech Rep.,,124,Canada,,TOTAL,All Commodities,,,,0.0,42765654,0
HS,2022,202203,Mar-22,0,0,2,Exports,203,Czech Rep.,,124,Canada,,TOTAL,All Commodities,,,,0.0,39031923,0
HS,2022,202203,Mar-22,0,0,1,Imports,208,Denmark,,124,Canada,,TOTAL,All Commodities,,,,0.0,18512212,0
HS,2022,202203,Mar-22,0,0,2,Exports,208,Denmark,,124,Canada,,TOTAL,All Commodities,,,,0.0,82053411,0
HS,2022,202203,Mar-22,0,0,1,Imports,222,El Salvador,,124,Canada,,TOTAL,All Commodities,,,,0.0,14092867,0
HS,2022,202203,Mar-22,0,0,2,Exports,222,El Salvador,,124,Canada,,TOTAL,All Commodities,,,,0.0,3759081,0
HS,2022,202203,Mar-22,0,0,1,Imports,233,Estonia,,124,Canada,,TOTAL,All Commodities,,,,0.0,2632712,0
HS,2022,202203,Mar-22,0,0,2,Exports,233,Estonia,,124,Canada,,TOTAL,All Commodities,,,,0.0,24725146,0
HS,2022,202203,Mar-22,0,0,1,Imports,242,Fiji,,124,Canada,,TOTAL,All Commodities,,,,0.0,249669,0
HS,2022,202203,Mar-22,0,0,2,Exports,242,Fiji,,124,Canada,,TOTAL,All Commodities,,,,0.0,442791,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,242,Fiji,,124,Canada,,TOTAL,All Commodities,,,,0.0,28171,0
HS,2022,202203,Mar-22,0,0,1,Imports,246,Finland,,124,Canada,,TOTAL,All Commodities,,,,0.0,30882050,0
HS,2022,202203,Mar-22,0,0,2,Exports,246,Finland,,124,Canada,,TOTAL,All Commodities,,,,0.0,77954763,0
HS,2022,202203,Mar-22,0,0,1,Imports,268,Georgia,,124,Canada,,TOTAL,All Commodities,,,,0.0,2162253,0
HS,2022,202203,Mar-22,0,0,2,Exports,268,Georgia,,124,Canada,,TOTAL,All Commodities,,,,0.0,525667,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,268,Georgia,,124,Canada,,TOTAL,All Commodities,,,,0.0,84600,0
HS,2022,202203,Mar-22,0,0,1,Imports,276,Germany,,124,Canada,,TOTAL,All Commodities,,,,0.0,708074783,0
HS,2022,202203,Mar-22,0,0,2,Exports,276,Germany,,124,Canada,,TOTAL,All Commodities,,,,0.0,1262641595,0
HS,2022,202203,Mar-22,0,0,1,Imports,300,Greece,,124,Canada,,TOTAL,All Commodities,,,,0.0,5943069,0
HS,2022,202203,Mar-22,0,0,2,Exports,300,Greece,,124,Canada,,TOTAL,All Commodities,,,,0.0,20095264,0
HS,2022,202203,Mar-22,0,0,1,Imports,308,Grenada,,124,Canada,,TOTAL,All Commodities,,,,0.0,815497,0
HS,2022,202203,Mar-22,0,0,2,Exports,308,Grenada,,124,Canada,,TOTAL,All Commodities,,,,0.0,520,0
HS,2022,202203,Mar-22,0,0,1,Imports,320,Guatemala,,124,Canada,,TOTAL,All Commodities,,,,0.0,15267176,0
HS,2022,202203,Mar-22,0,0,2,Exports,320,Guatemala,,124,Canada,,TOTAL,All Commodities,,,,0.0,24155115,0
HS,2022,202203,Mar-22,0,0,1,Imports,328,Guyana,,124,Canada,,TOTAL,All Commodities,,,,0.0,2501995,0
HS,2022,202203,Mar-22,0,0,2,Exports,328,Guyana,,124,Canada,,TOTAL,All Commodities,,,,0.0,1552327,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,328,Guyana,,124,Canada,,TOTAL,All Commodities,,,,0.0,2600,0
HS,2022,202203,Mar-22,0,0,1,Imports,344,"China, Hong Kong SAR",,124,Canada,,TOTAL,All Commodities,,,,0.0,73108883,0
HS,2022,202203,Mar-22,0,0,2,Exports,344,"China, Hong Kong SAR",,124,Canada,,TOTAL,All Commodities,,,,0.0,197547934,0
HS,2022,202203,Mar-22,0,0,1,Imports,348,Hungary,,124,Canada,,TOTAL,All Commodities,,,,0.0,6777356,0
HS,2022,202203,Mar-22,0,0,2,Exports,348,Hungary,,124,Canada,,TOTAL,All Commodities,,,,0.0,20535080,0
HS,2022,202203,Mar-22,0,0,1,Imports,352,Iceland,,124,Canada,,TOTAL,All Commodities,,,,0.0,7206650,0
HS,2022,202203,Mar-22,0,0,2,Exports,352,Iceland,,124,Canada,,TOTAL,All Commodities,,,,0.0,10129305,0
HS,2022,202203,Mar-22,0,0,1,Imports,360,Indonesia,,124,Canada,,TOTAL,All Commodities,,,,0.0,226109523,0
HS,2022,202203,Mar-22,0,0,2,Exports,360,Indonesia,,124,Canada,,TOTAL,All Commodities,,,,0.0,114292927,0
