Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
HS,2022,202203,Mar-22,0,0,1,Imports,31,Azerbaijan,,381,Italy,,TOTAL,All Commodities,,,,0.0,23260210,0
HS,2022,202203,Mar-22,0,0,2,Exports,31,Azerbaijan,,381,Italy,,TOTAL,All Commodities,,,,0.0,821255103,0
HS,2022,202203,Mar-22,0,0,1,Imports,32,Argentina,,381,Italy,,TOTAL,All Commodities,,,,0.0,132887083,0
HS,2022,202203,Mar-22,0,0,2,Exports,32,Argentina,,381,Italy,,TOTAL,All Commodities,,,,0.0,46078723,0
HS,2022,202203,Mar-22,0,0,1,Imports,36,Australia,,381,Italy,,TOTAL,All Commodities,,,,0.0,635494419,0
HS,2022,202203,Mar-22,0,0,2,Exports,36,Australia,,381,Italy,,TOTAL,All Commodities,,,,0.0,97281480,0
HS,2022,202203,Mar-22,0,0,1,Imports,51,Armenia,,381,Italy,,TOTAL,All Commodities,,,,0.0,16591201,0
HS,2022,202203,Mar-22,0,0,2,Exports,51,Armenia,,381,Italy,,TOTAL,All Commodities,,,,0.0,4956265,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,51,Armenia,,381,Italy,,TOTAL,All Commodities,,,,0.0,3249921,0
HS,2022,202203,Mar-22,0,0,4,Re-imports,51,Armenia,,381,Italy,,TOTAL,All Commodities,,,,0.0,319,0
HS,2022,202203,Mar-22,0,0,1,Imports,52,Barbados,,381,Italy,,TOTAL,All Commodities,,,,0.0,1296010,0
HS,2022,202203,Mar-22,0,0,2,Exports,52,Barbados,,381,Italy,,TOTAL,All Commodities,,,,0.0,5612,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,52,Barbados,,381,Italy,,TOTAL,All Commodities,,,,0.0,5612,0
HS,2022,202203,Mar-22,0,0,1,Imports,56,Belgium,,381,Italy,,TOTAL,All Commodities,,,,0.0,1607345510,0
HS,2022,202203,Mar-22,0,0,2,Exports,56,Belgium,,381,Italy,,TOTAL,All Commodities,,,,0.0,1494443314,0
HS,2022,202203,Mar-22,0,0,1,Imports,68,Bolivia,,381,Italy,,TOTAL,All Commodities,,,,0.0,8462094,0
HS,2022,202203,Mar-22,0,0,2,Exports,68,Bolivia,,381,Italy,,TOTAL,All Commodities,,,,0.0,31722517,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,68,Bolivia,,381,Italy,,TOTAL,All Commodities,,,,0.0,1943,0
