Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
HS,2022,202203,Mar-22,0,0,1,Imports,31,Azerbaijan,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,6538257,0
HS,2022,202203,Mar-22,0,0,2,Exports,31,Azerbaijan,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,9202342,0
HS,2022,202203,Mar-22,0,0,1,Imports,32,Argentina,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,130585334,0
HS,2022,202203,Mar-22,0,0,2,Exports,32,Argentina,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,299141652,0
HS,2022,202203,Mar-22,0,0,1,Imports,36,Australia,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,223688171,0
HS,2022,202203,Mar-22,0,0,2,Exports,36,Australia,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,658062885,0
HS,2022,202203,Mar-22,0,0,1,Imports,51,Armenia,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,2897081,0
HS,2022,202203,Mar-22,0,0,2,Exports,51,Armenia,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,13750214,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,51,Armenia,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,4553,0
HS,2022,202203,Mar-22,0,0,1,Imports,52,Barbados,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,13053472,0
HS,2022,202203,Mar-22,0,0,2,Exports,52,Barbados,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,90337,0
HS,2022,202203,Mar-22,0,0,1,Imports,56,Belgium,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,8305812567,0
HS,2022,202203,Mar-22,0,0,2,Exports,56,Belgium,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,5280840655,0
HS,2022,202203,Mar-22,0,0,1,Imports,68,Bolivia,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,18634092,0
HS,2022,202203,Mar-22,0,0,2,Exports,68,Bolivia,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,29801273,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,68,Bolivia,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,9150,0
HS,2022,202203,Mar-22,0,0,1,Imports,70,Bosnia Herzegovina,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,15829859,0
HS,2022,202203,Mar-22,0,0,2,Exports,70,Bosnia Herzegovina,,528,Netherlands,,TOTAL,All Commodities,,,,0.0,21669169,0
