Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
HS,2022,202203,Mar-22,0,0,1,Imports,31,Azerbaijan,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,109,0
HS,2022,202203,Mar-22,0,0,1,Imports,32,Argentina,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,37912,0
HS,2022,202203,Mar-22,0,0,2,Exports,32,Argentina,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,72493487,0
HS,2022,202203,Mar-22,0,0,1,Imports,36,Australia,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,197733,0
HS,2022,202203,Mar-22,0,0,2,Exports,36,Australia,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,2191898,0
HS,2022,202203,Mar-22,0,0,1,Imports,51,Armenia,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,128294,0
HS,2022,202203,Mar-22,0,0,1,Imports,52,Barbados,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,638,0
HS,2022,202203,Mar-22,0,0,1,Imports,56,Belgium,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,53569341,0
HS,2022,202203,Mar-22,0,0,2,Exports,56,Belgium,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,703694409,0
HS,2022,202203,Mar-22,0,0,1,Imports,68,Bolivia,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,310346,0
HS,2022,202203,Mar-22,0,0,1,Imports,70,Bosnia Herzegovina,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,27956,0
HS,2022,202203,Mar-22,0,0,2,Exports,70,Bosnia Herzegovina,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,42593,0
HS,2022,202203,Mar-22,0,0,1,Imports,72,Botswana,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,4704,0
HS,2022,202203,Mar-22,0,0,2,Exports,72,Botswana,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,20536,0
HS,2022,202203,Mar-22,0,0,1,Imports,76,Brazil,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,196367981,0
HS,2022,202203,Mar-22,0,0,2,Exports,76,Brazil,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,93777347,0
HS,2022,202203,Mar-22,0,0,1,Imports,97,EU,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,2848092946,0
HS,2022,202203,Mar-22,0,0,2,Exports,97,EU,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,1937857538,0
HS,2022,202203,Mar-22,0,0,2,Exports,112,Belarus,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,97200,0
HS,2022,202203,Mar-22,0,0,1,Imports,124,Canada,,566,Nigeria,,TOTAL,All Commodities,,,,,334312242,0
HS,2022,202203,Mar-22,0,0,2,Exports,124,Canada,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,19922534,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,124,Canada,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,574730,0
HS,2022,202203,Mar-22,0,0,1,Imports,152,Chile,,566,Nigeria,,TOTAL,All Commodities,,,,,79130,0
HS,2022,202203,Mar-22,0,0,2,Exports,152,Chile,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,18054791,0
HS,2022,202203,Mar-22,0,0,1,Imports,156,China,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,86516103,0
HS,2022,202203,Mar-22,0,0,2,Exports,156,China,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,1789499967,0
HS,2022,202203,Mar-22,0,0,1,Imports,191,Croatia,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,145664,0
HS,2022,202203,Mar-22,0,0,2,Exports,191,Croatia,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,45108,0
HS,2022,202203,Mar-22,0,0,1,Imports,203,Czech Rep.,,566,Nigeria,,TOTAL,All Commodities,,,,0.0,3179086,0
