Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
HS,2022,202203,Mar-22,0,0,1,Imports,31,Azerbaijan,,757,Switzerland,,TOTAL,All Commodities,,,,,3257673,0
HS,2022,202203,Mar-22,0,0,2,Exports,31,Azerbaijan,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,12253708,0
HS,2022,202203,Mar-22,0,0,1,Imports,32,Argentina,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,49507866,0
HS,2022,202203,Mar-22,0,0,2,Exports,32,Argentina,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,144645590,0
HS,2022,202203,Mar-22,0,0,1,Imports,36,Australia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,277540375,0
HS,2022,202203,Mar-22,0,0,2,Exports,36,Australia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,74863771,0
HS,2022,202203,Mar-22,0,0,1,Imports,51,Armenia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,1497881,0
HS,2022,202203,Mar-22,0,0,2,Exports,51,Armenia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,21084247,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,51,Armenia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,562657,0
HS,2022,202203,Mar-22,0,0,4,Re-imports,51,Armenia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,4932,0
HS,2022,202203,Mar-22,0,0,1,Imports,52,Barbados,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,209063,0
HS,2022,202203,Mar-22,0,0,1,Imports,56,Belgium,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,743061675,0
HS,2022,202203,Mar-22,0,0,2,Exports,56,Belgium,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,528587438,0
HS,2022,202203,Mar-22,0,0,1,Imports,68,Bolivia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,39548631,0
HS,2022,202203,Mar-22,0,0,2,Exports,68,Bolivia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,21786,0
HS,2022,202203,Mar-22,0,0,1,Imports,70,Bosnia Herzegovina,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,6318989,0
HS,2022,202203,Mar-22,0,0,2,Exports,70,Bosnia Herzegovina,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,11217019,0
HS,2022,202203,Mar-22,0,0,1,Imports,72,Botswana,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,264091,0
HS,2022,202203,Mar-22,0,0,2,Exports,72,Botswana,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,21312273,0
HS,2022,202203,Mar-22,0,0,1,Imports,76,Brazil,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,200674053,0
HS,2022,202203,Mar-22,0,0,2,Exports,76,Brazil,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,101269639,0
HS,2022,202203,Mar-22,0,0,1,Imports,84,Belize,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,334407,0
HS,2022,202203,Mar-22,0,0,2,Exports,84,Belize,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,104952,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,84,Belize,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,104952,0
HS,2022,202203,Mar-22,0,0,1,Imports,97,EU,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,15635999892,0
HS,2022,202203,Mar-22,0,0,2,Exports,97,EU,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,18706725552,0
HS,2022,202203,Mar-22,0,0,1,Imports,112,Belarus,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,11881200,0
HS,2022,202203,Mar-22,0,0,2,Exports,112,Belarus,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,1575900,0
HS,2022,202203,Mar-22,0,0,1,Imports,124,Canada,,757,Switzerland,,TOTAL,All Commodities,,,,,847888782,0
HS,2022,202203,Mar-22,0,0,2,Exports,124,Canada,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,184913611,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,124,Canada,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,4561165,0
HS,2022,202203,Mar-22,0,0,1,Imports,152,Chile,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,30823912,0
HS,2022,202203,Mar-22,0,0,2,Exports,152,Chile,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,78326876,0
HS,2022,202203,Mar-22,0,0,1,Imports,156,China,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,2941416338,0
HS,2022,202203,Mar-22,0,0,2,Exports,156,China,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,718415234,0
HS,2022,202203,Mar-22,0,0,1,Imports,191,Croatia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,20891529,0
HS,2022,202203,Mar-22,0,0,2,Exports,191,Croatia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,28574086,0
HS,2022,202203,Mar-22,0,0,1,Imports,203,Czech Rep.,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,227998694,0
HS,2022,202203,Mar-22,0,0,2,Exports,203,Czech Rep.,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,302276324,0
HS,2022,202203,Mar-22,0,0,1,Imports,208,Denmark,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,77799315,0
HS,2022,202203,Mar-22,0,0,2,Exports,208,Denmark,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,100124864,0
HS,2022,202203,Mar-22,0,0,1,Imports,222,El Salvador,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,5053397,0
HS,2022,202203,Mar-22,0,0,2,Exports,222,El Salvador,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,152141,0
HS,2022,202203,Mar-22,0,0,1,Imports,233,Estonia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,31686127,0
HS,2022,202203,Mar-22,0,0,2,Exports,233,Estonia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,21040486,0
HS,2022,202203,Mar-22,0,0,1,Imports,242,Fiji,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,66075,0
HS,2022,202203,Mar-22,0,0,2,Exports,242,Fiji,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,3316,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,242,Fiji,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,2132,0
HS,2022,202203,Mar-22,0,0,1,Imports,246,Finland,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,101423938,0
HS,2022,202203,Mar-22,0,0,2,Exports,246,Finland,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,185438288,0
HS,2022,202203,Mar-22,0,0,1,Imports,268,Georgia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,7091816,0
HS,2022,202203,Mar-22,0,0,2,Exports,268,Georgia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,7874452,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,268,Georgia,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,1506402,0
HS,2022,202203,Mar-22,0,0,1,Imports,276,Germany,,757,Switzerland,,TOTAL,All Commodities,,,,,5981827706,0
HS,2022,202203,Mar-22,0,0,2,Exports,276,Germany,,757,Switzerland,,TOTAL,All Commodities,,,,,7322442009,0
HS,2022,202203,Mar-22,0,0,1,Imports,300,Greece,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,54517526,0
HS,2022,202203,Mar-22,0,0,2,Exports,300,Greece,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,18696035,0
HS,2022,202203,Mar-22,0,0,1,Imports,308,Grenada,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,100799,0
HS,2022,202203,Mar-22,0,0,1,Imports,320,Guatemala,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,6788234,0
HS,2022,202203,Mar-22,0,0,2,Exports,320,Guatemala,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,4875886,0
HS,2022,202203,Mar-22,0,0,1,Imports,328,Guyana,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,478457,0
HS,2022,202203,Mar-22,0,0,1,Imports,344,"China, Hong Kong SAR",,757,Switzerland,,TOTAL,All Commodities,,,,0.0,625746411,0
HS,2022,202203,Mar-22,0,0,2,Exports,344,"China, Hong Kong SAR",,757,Switzerland,,TOTAL,All Commodities,,,,0.0,622064909,0
HS,2022,202203,Mar-22,0,0,1,Imports,348,Hungary,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,77248548,0
HS,2022,202203,Mar-22,0,0,2,Exports,348,Hungary,,757,Switzerland,,TOTAL,All Commodities,,,,0.0,121771957,0
