Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
HS,2022,202203,Mar-22,0,0,1,Imports,31,Azerbaijan,,826,United Kingdom,,TOTAL,All Commodities,,,,,14879956,0
HS,2022,202203,Mar-22,0,0,2,Exports,31,Azerbaijan,,826,United Kingdom,,TOTAL,All Commodities,,,,0.0,948735,0
HS,2022,202203,Mar-22,0,0,1,Imports,32,Argentina,,826,United Kingdom,,TOTAL,All Commodities,,,,0.0,55889009,0
HS,2022,202203,Mar-22,0,0,2,Exports,32,Argentina,,826,United Kingdom,,TOTAL,All Commodities,,,,0.0,58586832,0
HS,2022,202203,Mar-22,0,0,1,Imports,36,Australia,,826,United Kingdom,,TOTAL,All Commodities,,,,0.0,521655120,0
HS,2022,202203,Mar-22,0,0,2,Exports,36,Australia,,826,United Kingdom,,TOTAL,All Commodities,,,,0.0,186697192,0
HS,2022,202203,Mar-22,0,0,1,Imports,51,Armenia,,826,United Kingdom,,TOTAL,All Commodities,,,,0.0,3860912,0
HS,2022,202203,Mar-22,0,0,2,Exports,51,Armenia,,826,United Kingdom,,TOTAL,All Commodities,,,,0.0,523852,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,51,Armenia,,826,United Kingdom,,TOTAL,All Commodities,,,,0.0,55511,0
HS,2022,202203,Mar-22,0,0,1,Imports,52,Barbados,,826,United Kingdom,,TOTAL,All Commodities,,,,0.0,7501931,0
HS,2022,202203,Mar-22,0,0,2,Exports,52,Barbados,,826,United Kingdom,,TOTAL,All Commodities,,,,0.0,979235,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,52,Barbados,,826,United Kingdom,,TOTAL,All Commodities,,,,0.0,120816,0
HS,2022,202203,Mar-22,0,0,1,Imports,56,Belgium,,826,United Kingdom,,TOTAL,All Commodities,,,,0.0,2218370088,0
