Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
HS,2022,202203,Mar-22,0,0,1,Imports,31,Azerbaijan,,842,United States of America,,TOTAL,All Commodities,,,,0.0,26231855,0
HS,2022,202203,Mar-22,0,0,2,Exports,31,Azerbaijan,,842,United States of America,,TOTAL,All Commodities,,,,0.0,17684283,0
HS,2022,202203,Mar-22,0,0,1,Imports,32,Argentina,,842,United States of America,,TOTAL,All Commodities,,,,0.0,659172702,0
HS,2022,202203,Mar-22,0,0,2,Exports,32,Argentina,,842,United States of America,,TOTAL,All Commodities,,,,0.0,626419270,0
HS,2022,202203,Mar-22,0,0,1,Imports,36,Australia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,3022713125,0
HS,2022,202203,Mar-22,0,0,2,Exports,36,Australia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,1290773505,0
HS,2022,202203,Mar-22,0,0,1,Imports,51,Armenia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,15958057,0
HS,2022,202203,Mar-22,0,0,2,Exports,51,Armenia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,10038407,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,51,Armenia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,91853,0
HS,2022,202203,Mar-22,0,0,1,Imports,52,Barbados,,842,United States of America,,TOTAL,All Commodities,,,,0.0,72011619,0
HS,2022,202203,Mar-22,0,0,2,Exports,52,Barbados,,842,United States of America,,TOTAL,All Commodities,,,,0.0,6893027,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,52,Barbados,,842,United States of America,,TOTAL,All Commodities,,,,0.0,1527802,0
HS,2022,202203,Mar-22,0,0,1,Imports,56,Belgium,,842,United States of America,,TOTAL,All Commodities,,,,0.0,2204589240,0
HS,2022,202203,Mar-22,0,0,2,Exports,56,Belgium,,842,United States of America,,TOTAL,All Commodities,,,,0.0,3036037523,0
HS,2022,202203,Mar-22,0,0,1,Imports,68,Bolivia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,48035399,0
HS,2022,202203,Mar-22,0,0,2,Exports,68,Bolivia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,64280099,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,68,Bolivia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,422088,0
HS,2022,202203,Mar-22,0,0,1,Imports,70,Bosnia Herzegovina,,842,United States of America,,TOTAL,All Commodities,,,,0.0,40395227,0
HS,2022,202203,Mar-22,0,0,2,Exports,70,Bosnia Herzegovina,,842,United States of America,,TOTAL,All Commodities,,,,0.0,11484432,0
HS,2022,202203,Mar-22,0,0,1,Imports,72,Botswana,,842,United States of America,,TOTAL,All Commodities,,,,0.0,5148162,0
HS,2022,202203,Mar-22,0,0,2,Exports,72,Botswana,,842,United States of America,,TOTAL,All Commodities,,,,0.0,11852489,0
HS,2022,202203,Mar-22,0,0,1,Imports,76,Brazil,,842,United States of America,,TOTAL,All Commodities,,,,0.0,4054738265,0
HS,2022,202203,Mar-22,0,0,2,Exports,76,Brazil,,842,United States of America,,TOTAL,All Commodities,,,,0.0,2946219402,0
HS,2022,202203,Mar-22,0,0,1,Imports,84,Belize,,842,United States of America,,TOTAL,All Commodities,,,,0.0,44726966,0
HS,2022,202203,Mar-22,0,0,2,Exports,84,Belize,,842,United States of America,,TOTAL,All Commodities,,,,0.0,6588474,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,84,Belize,,842,United States of America,,TOTAL,All Commodities,,,,0.0,2464518,0
HS,2022,202203,Mar-22,0,0,1,Imports,97,EU,,842,United States of America,,TOTAL,All Commodities,,,,0.0,30393583465,0
HS,2022,202203,Mar-22,0,0,2,Exports,97,EU,,842,United States of America,,TOTAL,All Commodities,,,,0.0,49138028621,0
HS,2022,202203,Mar-22,0,0,1,Imports,112,Belarus,,842,United States of America,,TOTAL,All Commodities,,,,0.0,19384500,0
HS,2022,202203,Mar-22,0,0,2,Exports,112,Belarus,,842,United States of America,,TOTAL,All Commodities,,,,0.0,16330900,0
HS,2022,202203,Mar-22,0,0,1,Imports,124,Canada,,842,United States of America,,TOTAL,All Commodities,,,,,25059877397,0
HS,2022,202203,Mar-22,0,0,2,Exports,124,Canada,,842,United States of America,,TOTAL,All Commodities,,,,0.0,41947865176,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,124,Canada,,842,United States of America,,TOTAL,All Commodities,,,,0.0,2977010698,0
HS,2022,202203,Mar-22,0,0,1,Imports,152,Chile,,842,United States of America,,TOTAL,All Commodities,,,,0.0,1645221836,0
HS,2022,202203,Mar-22,0,0,2,Exports,152,Chile,,842,United States of America,,TOTAL,All Commodities,,,,0.0,1510575042,0
HS,2022,202203,Mar-22,0,0,1,Imports,156,China,,842,United States of America,,TOTAL,All Commodities,,,,0.0,15342607413,0
HS,2022,202203,Mar-22,0,0,2,Exports,156,China,,842,United States of America,,TOTAL,All Commodities,,,,0.0,47378662144,0
HS,2022,202203,Mar-22,0,0,1,Imports,191,Croatia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,168875011,0
HS,2022,202203,Mar-22,0,0,2,Exports,191,Croatia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,57483242,0
HS,2022,202203,Mar-22,0,0,1,Imports,203,Czech Rep.,,842,United States of America,,TOTAL,All Commodities,,,,,467453019,0
HS,2022,202203,Mar-22,0,0,2,Exports,203,Czech Rep.,,842,United States of America,,TOTAL,All Commodities,,,,0.0,555358612,0
HS,2022,202203,Mar-22,0,0,1,Imports,208,Denmark,,842,United States of America,,TOTAL,All Commodities,,,,0.0,297068402,0
HS,2022,202203,Mar-22,0,0,2,Exports,208,Denmark,,842,United States of America,,TOTAL,All Commodities,,,,0.0,603610481,0
HS,2022,202203,Mar-22,0,0,1,Imports,222,El Salvador,,842,United States of America,,TOTAL,All Commodities,,,,0.0,448374194,0
HS,2022,202203,Mar-22,0,0,2,Exports,222,El Salvador,,842,United States of America,,TOTAL,All Commodities,,,,0.0,278120908,0
HS,2022,202203,Mar-22,0,0,1,Imports,233,Estonia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,52976707,0
HS,2022,202203,Mar-22,0,0,2,Exports,233,Estonia,,842,United States of America,,TOTAL,All Commodities,,,,0.0,183687637,0
HS,2022,202203,Mar-22,0,0,1,Imports,242,Fiji,,842,United States of America,,TOTAL,All Commodities,,,,0.0,13033029,0
HS,2022,202203,Mar-22,0,0,2,Exports,242,Fiji,,842,United States of America,,TOTAL,All Commodities,,,,0.0,4208899,0
HS,2022,202203,Mar-22,0,0,3,Re-exports,242,Fiji,,842,United States of America,,TOTAL,All Commodities,,,,0.0,1355135,0
HS,2022,202203,Mar-22,0,0,1,Imports,246,Finland,,842,United States of America,,TOTAL,All Commodities,,,,0.0,268347304,0
