,Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Netweight (kg),Trade Value (US$),Flag
0,HS,2021,202102,February 2021,4,0,1,Imports,124,Canada,,490,"Other Asia, nes",,6117,"Clothing accessories; made up, knitted or crocheted, knitted or crocheted parts of garments or of clothing accessories",0,,,,9285,0
1,HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,818,Egypt,,18,Cocoa and cocoa preparations,0,,,0.0,116604,0
2,HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,826,United Kingdom,,18,Cocoa and cocoa preparations,0,,,0.0,1495175,0
3,HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,834,United Rep. of Tanzania,,18,Cocoa and cocoa preparations,0,,,0.0,2248,0
4,HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,702,Singapore,,18,Cocoa and cocoa preparations,0,,,0.0,47840,0
5,HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,704,Viet Nam,,18,Cocoa and cocoa preparations,0,,,0.0,3526,0
6,HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,710,South Africa,,18,Cocoa and cocoa preparations,0,,,0.0,5462,0
7,HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,724,Spain,,18,Cocoa and cocoa preparations,0,,,0.0,311425,0
8,HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,752,Sweden,,18,Cocoa and cocoa preparations,0,,,0.0,11786,0
9,HS,2021,202102,February 2021,2,0,1,Imports,124,Canada,,862,Venezuela,,18,Cocoa and cocoa preparations,0,,,0.0,33715,0
